MaxSizeTL,Diet,Position,Species,Family,MaxSizeTL_MB18,Max_Size_MB19,Length_Max_TL_Chagos,MaxSizeTL_OG,MaxSizeTL_Prod,Diet_MB18,Diet_MB19,Diet_Chagos,Diet_OG,Position_MB18,Position_MB19,Position_OG,a_MB18,b_MB18,a_MB19,b_MB19,a_Chagos,b_Chagos,a_Bayes_Fishbase,b_Bayes_Fishbase,a,b,sstmean,Kmax,Kmax_lowqt,Kmax_upqt
15,Plktiv,BtPlAs,Abudefduf_sexfasciatus,Pomacentridae,NA,16,19,20,16,NA,Plktiv,Planktivore,Plktiv,NA,BtPlAs,BtPlDw,NA,NA,0.024,3.06,0.0213,3.152,0.02138,3.04,0.02138,3.04,28,0.398,0.237,0.641
25,Omnivr,BtPlDw,Abudefduf_sordidus,Pomacentridae,NA,NA,24,25,24,NA,NA,Omnivore,Omnivr,NA,NA,BtPlDw,NA,NA,NA,NA,0.0226,3.132,0.0195,3.03,0.0195,3.03,28,0.287,0.184,0.427
20,Plktiv,BtPlDw,Abudefduf_vaigiensis,Pomacentridae,20,20,20,20,20,Planktivore,Plktiv,Planktivore,Plktiv,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.01862,3.04,0.019,3.04,0.03,2.8,0.02455,3.01,0.02455,3.01,28,0.362,0.236,0.563
50,HerDet,BtPlDw,Acanthurus_leucosternon,Acanthuridae,54,NA,54,50,54,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.0195,2.94,NA,NA,0.0286,2.921,0.01905,2.94,0.01905,2.94,28,0.126,0.092,0.178
40,HerDet,BtPlDw,Acanthurus_lineatus,Acanthuridae,38,38,38,40,38,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.0195,3.03,0.021,3.01,0.0126,3.064,0.01778,2.97,0.01778,2.97,28,0.154,0.109,0.225
50,Plktiv,BtPlDw,Acanthurus_mata,Acanthuridae,50,NA,50,50,50,Planktivore,NA,Planktivore,Plktiv,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.02291,2.97,NA,NA,0.0269,2.945,0.02512,2.94,0.02512,2.94,28,0.139,0.095,0.199
40,HerDet,BtPlDw,Acanthurus_nigricauda,Acanthuridae,40,40,40,40,40,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.02188,2.96,0.028,2.94,0.0261,3.024,0.02089,2.95,0.02089,2.95,28,0.154,0.109,0.225
20,HerDet,BtPlDw,Acanthurus_nigrofuscus,Acanthuridae,21,21,21,20,21,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.02344,2.97,0.027,3.02,0.0301,2.967,0.02089,2.96,0.02089,2.96,28,0.327,0.223,0.483
30,HerDet,BtPlDw,Acanthurus_tennentii,Acanthuridae,NA,NA,31,30,31,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.1317,2.392,0.01905,2.95,0.01905,2.95,28,0.28,0.206,0.397
25,HerDet,BtPlDw,Acanthurus_triostegus,Acanthuridae,27,NA,27,25,27,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.02188,2.96,NA,NA,0.1317,2.392,0.02042,2.96,0.02042,2.96,28,0.266,0.184,0.376
60,FisCep,BnthDw,Aethaloperca_rogaa,Serranidae,NA,NA,60,60,60,NA,NA,Piscivore,FisCep,NA,NA,BnthDw,NA,NA,NA,NA,0.0398,2.761,0.01445,3.09,0.01445,3.09,28,0.099,0.067,0.153
15,Plktiv,BtPlDw,Amblyglyphidodon_leucogaster,Pomacentridae,NA,13,13,15,13,NA,Omnivr,Planktivore,Plktiv,NA,BtPlDw,BtPlDw,NA,NA,0.022,3.01,0.0217,3,0.01585,2.96,0.01585,2.96,28,0.356,0.219,0.557
40,InvMob,BnthDw,Anampses_caeruleopunctatus,Labridae,NA,42,42,40,42,NA,InvMob,Invertivore,InvMob,NA,BnthDw,BnthDw,NA,NA,0.01,3.06,0.022609401,2.792711024,0.01072,3.04,0.01072,3.04,28,0.215,0.154,0.297
20,InvMob,BnthDw,Anampses_meleagrides,Labridae,NA,22,22,20,22,NA,InvMob,Invertivore,InvMob,NA,BnthDw,BnthDw,NA,NA,0.01,3.06,0.0226,2.793,0.01072,3.04,0.01072,3.04,28,0.293,0.182,0.461
70,FisCep,BtPlDw,Aphareus_furca,Lutjanidae,NA,NA,70,70,70,NA,NA,Piscivore,FisCep,NA,NA,BtPlDw,NA,NA,NA,NA,0.0105,3,0.01585,2.94,0.01585,2.94,28,0.166,0.114,0.245
25,InvSes,BnthDw,Apolemichthys_trimaculatus,Pomacanthidae,NA,NA,26,25,26,NA,NA,Invertivore,InvSes,NA,NA,BnthDw,NA,NA,NA,NA,0.0045,3,0.02512,2.9,0.02512,2.9,28,0.285,0.167,0.463
120,FisCep,PelgAs,Aprion_virescens,Lutjanidae,112,112,112,120,112,Fish-cephalopod feeder,FisCep,Piscivore,FisCep,Pelagic Reef dwelling,PelgAs,PelgDw,0.01349,2.95,0.0125,3.03,0.0255,2.87,0.01445,2.94,0.01445,2.94,28,0.13,0.09,0.176
50,InvSes,BnthDw,Arothron_meleagris,Tetraodontidae,NA,NA,50,50,50,NA,NA,Corallivore,InvSes,NA,NA,BtPlDw,NA,NA,NA,NA,0.057,2.801,0.03388,2.87,0.03388,2.87,28,0.153,0.101,0.24
35,InvSes,BnthDw,Arothron_nigropunctatus,Tetraodontidae,NA,33,33,35,33,NA,InvSes,Corallivore,InvSes,NA,BnthDw,BtPlDw,NA,NA,0.036,2.95,0.02138,2.87,0.02138,2.87,0.02138,2.87,28,0.228,0.152,0.348
30,InvMob,BtPlDw,Balistapus_undulatus,Balistidae,NA,30,30,30,30,NA,InvMob,Invertivore,InvMob,NA,BtPlDw,BnthDw,NA,NA,0.03,3.06,0.0058,3.554,0.03467,3,0.03467,3,28,0.288,0.195,0.413
80,InvMob,BtPlDw,Balistoides_viridescens,Balistidae,NA,75,75,80,75,NA,InvMob,Invertivore,InvMob,NA,BtPlDw,BnthDw,NA,NA,0.029,3.02,0.02442,3.01828,0.03236,2.97,0.03236,2.97,28,0.126,0.09,0.179
50,HerDet,BtPlDw,Calotomus_carolinus,Scaridae,NA,NA,54,50,54,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.0122,3.167,0.0123,3.13,0.0123,3.13,28,0.126,0.092,0.178
25,Omnivr,BnthDw,Cantherhines_pardalis,Monacanthidae,NA,NA,25,25,25,NA,NA,Invertivore,Omnivr,NA,NA,BnthDw,NA,NA,NA,NA,0.017,3.07,0.01698,2.91,0.01698,2.91,28,0.295,0.182,0.471
70,FisCep,PelgAs,Carangoides_ferdau,Carangidae,70,NA,70,70,70,Fish-cephalopod feeder,NA,Piscivore,FisCep,Pelagic Reef associated,NA,PelgAs,0.0228,3,NA,NA,0.036825665,2.851155431,0.01905,2.95,0.01905,2.95,28,0.234,0.17,0.332
120,FisCep,PelgAs,Caranx_melampygus,Carangidae,126.9,126.2,126,120,126,Fish-cephalopod feeder,FisCep,Piscivore,FisCep,Pelagic Reef associated,PelgAs,PelgAs,0.01905,2.95,0.021,3.01,0.0235,2.92,0.01738,2.95,0.01738,2.95,28,0.13,0.09,0.176
200,FisCep,PelgAs,Carcharhinus_melanopterus,Carcharhinidae,NA,NA,200,200,200,NA,NA,Piscivore,FisCep,NA,NA,PelgAs,NA,NA,NA,NA,0.000325,3.649,0.00468,3.04,0.00468,3.04,28,0.08,0.056,0.111
15,InvSes,BnthDw,Centropyge_multispinis,Pomacanthidae,NA,NA,14,15,14,NA,NA,Invertivore,InvSes,NA,NA,BnthDw,NA,NA,NA,NA,0.1313,2.26,0.0263,2.87,0.0263,2.87,28,0.347,0.212,0.565
60,FisCep,BnthDw,Cephalopholis_argus,Serranidae,NA,NA,60,60,60,NA,FisCep,Piscivore,FisCep,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0186,2.987,0.01175,3.04,0.01175,3.04,28,0.099,0.067,0.153
30,FisCep,BnthDw,Cephalopholis_nigripinnis,Serranidae,NA,NA,28,30,28,NA,NA,Piscivore,FisCep,NA,NA,BnthDw,NA,NA,NA,NA,0.0282,2.81775,0.0123,3.04,0.0123,3.04,28,0.28,0.174,0.434
30,FisCep,BnthDw,Cephalopholis_spiloparaea,Serranidae,NA,NA,30,30,30,NA,NA,Piscivore,FisCep,NA,NA,BnthDw,NA,NA,NA,NA,0.0273,3,0.01549,3.07,0.01549,3.07,28,0.28,0.174,0.434
70,HerDet,BtPlDw,Cetoscarus_bicolor,Scaridae,NA,NA,58,100,65,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.01567,3,0.01349,3.03,0.01349,3.03,28,0.112,0.081,0.157
25,InvMob,BnthDw,Chaetodon_auriga,Chaetodontidae,23,23,23,25,23,Mobile invertebrate feeder,InvMob,Omnivore,InvMob,Benthic Reef dwelling,BnthDw,BnthDw,0.02512,2.99,0.025,2.99,0.0312,2.953,0.02512,2.99,0.02512,2.99,28,0.288,0.18,0.442
20,InvSes,BnthDw,Chaetodon_falcula,Chaetodontidae,NA,NA,20,20,20,NA,NA,Invertivore,InvSes,NA,NA,BnthDw,NA,NA,NA,NA,0.0229,3.148,0.02344,3.01,0.02344,3.01,28,0.269,0.165,0.443
10,InvSes,BnthDw,Chaetodon_guttatissimus,Chaetodontidae,NA,NA,12,15,12,NA,NA,Omnivore,Omnivr,NA,NA,BnthDw,NA,NA,NA,NA,0.0409,2.791,0.02344,3.01,0.02344,3.01,28,0.423,0.244,0.731
15,InvSes,BnthDw,Chaetodon_kleinii,Chaetodontidae,NA,15,15,15,15,NA,InvSes,Omnivore,Omnivr,NA,BnthDw,BnthDw,NA,NA,0.028,3.03,0.0409,2.791,0.0302,3.04,0.0302,3.04,28,0.347,0.212,0.565
20,InvSes,BnthDw,Chaetodon_meyeri,Chaetodontidae,NA,NA,20,20,20,NA,NA,Corallivore,InvSes,NA,NA,BnthDw,NA,NA,NA,NA,0.0229,3.148,0.02344,3.01,0.02344,3.01,28,0.269,0.165,0.443
20,InvSes,BnthDw,Chaetodon_trifascialis,Chaetodontidae,18,NA,18,20,18,Sessile invertebrate feeder,NA,Corallivore,InvSes,Benthic Reef dwelling,NA,BnthDw,0.02089,2.96,NA,NA,0.0468,2.758,0.02138,2.96,0.02138,2.96,28,0.269,0.165,0.443
15,InvSes,BnthDw,Chaetodon_trifasciatus,Chaetodontidae,15,NA,15,15,15,Sessile invertebrate feeder,NA,Corallivore,InvSes,Benthic Reef dwelling,NA,BnthDw,0.02344,3.06,NA,NA,0.0387,2.894,0.02344,3.06,0.02344,3.06,28,0.347,0.212,0.565
20,InvSes,BnthDw,Chaetodon_xanthocephalus,Chaetodontidae,NA,NA,20,20,20,NA,NA,Omnivore,Omnivr,NA,NA,BnthDw,NA,NA,NA,NA,0.0409,2.791,0.02344,3.01,0.02344,3.01,28,0.269,0.165,0.443
10,InvSes,BnthDw,Chaetodon_zanzibarensis,Chaetodontidae,NA,NA,12,15,12,NA,NA,Corallivore,InvSes,NA,NA,BnthDw,NA,NA,NA,NA,0.0409,2.791,0.02344,3.01,0.02344,3.01,28,0.423,0.244,0.731
50,InvMob,BtPlDw,Cheilinus_fasciatus,Labridae,NA,48.2,52,50,52,NA,InvMob,Invertivore,InvMob,NA,BtPlDw,BtPlDw,NA,NA,0.017,3.05,0.021,2.972,0.01413,2.95,0.01413,2.95,28,0.114,0.08,0.159
50,InvMob,BtPlDw,Cheilinus_trilobatus,Labridae,45,45,45,50,45,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.01514,3,0.017,3.05,0.021,2.972,0.01905,3,0.01905,3,28,0.114,0.08,0.159
40,HerDet,BtPlDw,Chlorurus_capistratoides,Scaridae,NA,NA,40,40,40,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0273,2.93,0.01413,3.04,0.01413,3.04,28,0.154,0.109,0.225
50,HerDet,BtPlDw,Chlorurus_enneacanthus,Scaridae,NA,NA,50,50,50,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0273,2.93,0.01413,3.04,0.01413,3.04,28,0.126,0.092,0.178
40,HerDet,BtPlDw,Chlorurus_sordidus,Scaridae,NA,NA,40,40,40,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.0273,2.93,0.01549,3.06,0.01549,3.06,28,0.154,0.109,0.225
70,HerDet,BtPlDw,Chlorurus_strongylocephalus,Scaridae,NA,NA,70,70,70,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.0273,2.93,0.01413,3.04,0.01413,3.04,28,0.112,0.081,0.157
10,Plktiv,BtPlDw,Chromis_atripectoralis,Pomacentridae,NA,12,12,15,12,NA,Plktiv,Planktivore,Plktiv,NA,BtPlDw,BtPlDw,NA,NA,0.017,3.13,0.0204,3.217,0.02042,3.07,0.02042,3.07,28,0.53,0.331,0.828
10,Plktiv,BtPlDw,Chromis_dimidiata,Pomacentridae,NA,NA,9,10,9,NA,NA,Planktivore,Plktiv,NA,NA,BtPlDw,NA,NA,NA,NA,0.0642,2.518,0.01698,3,0.01698,3,28,0.53,0.331,0.828
10,Plktiv,BtPlDw,Chromis_viridis,Pomacentridae,8,8,10,10,10,Planktivore,Plktiv,Planktivore,Plktiv,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.018,2.97,0.017,3.13,0.0642,2.518,0.01995,2.9,0.01995,2.9,28,0.53,0.331,0.828
15,Plktiv,BtPlDw,Chromis_weberi,Pomacentridae,NA,13.5,14,15,14,NA,Plktiv,Planktivore,Plktiv,NA,BtPlDw,BtPlDw,NA,NA,0.017,3.13,0.0204,3.217,NA,NA,0.017,3.13,28,0.356,0.219,0.557
8,Omnivr,BnthDw,Chrysiptera_brownriggii,Pomacentridae,NA,NA,8,10,8,NA,NA,Omnivore,Omnivr,NA,NA,BnthDw,NA,NA,NA,NA,0.0377,2.702,0.01479,2.99,0.01479,2.99,28,0.707,0.395,1.193
10,InvMob,BnthDw,Cirrhitichthys_oxycephalus,Cirrhitidae,NA,10,10,10,10,NA,FisCep,Invertivore,InvMob,NA,BnthDw,BnthDw,NA,NA,0.013,3.06,0.0138,3.117,0.01413,3.02,0.01413,3.02,28,0.353,0.21,0.602
20,HerDet,BtPlDw,Ctenochaetus_binotatus,Acanthuridae,NA,22,22,20,22,NA,HerDet,Herbivore,HerDet,NA,BtPlDw,BtPlDw,NA,NA,0.034,2.96,0.081,2.59,0.03236,2.94,0.03236,2.94,28,0.327,0.223,0.483
25,HerDet,BtPlDw,Ctenochaetus_striatus,Acanthuridae,26,26,26,25,26,Herbivore-detritivore,HerDet,Herbivore,HerDet,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.02239,2.98,0.023,3.04,0.0254,3.027,0.02042,2.97,0.02042,2.97,28,0.266,0.184,0.376
15,HerDet,BtPlDw,Ctenochaetus_truncatus,Acanthuridae,NA,NA,16,15,16,NA,NA,Herbivore,HerDet,NA,NA,BtPlDw,NA,NA,NA,NA,0.081,2.59,0.02042,2.96,0.02042,2.96,28,0.349,0.217,0.555
10,Plktiv,BnthDw,Dascyllus_aruanus,Pomacentridae,10,NA,10,10,10,Planktivore,NA,Omnivore,Plktiv,Benthic Reef dwelling,NA,BnthDw,0.02188,2.98,NA,NA,0.0415,2.989,0.02884,2.97,0.02884,2.97,28,0.373,0.226,0.643
70,FisCep,BnthDw,Epibulus_insidiator,Labridae,NA,68.5,71,70,71,NA,FisCep,Piscivore,FisCep,NA,BnthDw,BnthDw,NA,NA,0.019,3.04,0.01614,3.08102,0.01905,2.97,0.01905,2.97,28,0.127,0.089,0.181
120,FisCep,BnthDw,Epinephelus_fuscoguttatus,Serranidae,NA,NA,120,120,120,Fish-cephalopod feeder,NA,Piscivore,FisCep,Benthic Reef dwelling,NA,BnthDw,NA,NA,NA,NA,0.0126,3.066,0.01047,3.03,0.01047,3.03,28,0.065,0.046,0.09
30,FisCep,BnthDw,Epinephelus_merra,Serranidae,NA,NA,32,30,32,Fish-cephalopod feeder,InvMob,Piscivore,FisCep,Benthic Reef dwelling,BnthDw,BnthDw,NA,NA,NA,NA,0.0236,2.824,0.01175,3.04,0.01175,3.04,28,0.28,0.174,0.434
30,InvMob,BtPlDw,Gomphosus_caeruleus,Labridae,NA,NA,32,30,32,NA,NA,Invertivore,InvMob,NA,NA,BtPlDw,NA,NA,NA,NA,0.02437,2.70269,0.00955,3.03,0.00955,3.03,28,0.288,0.195,0.413
15,InvMob,BtPlDw,Halichoeres_cosmetus,Labridae,NA,NA,13,15,13,NA,NA,Invertivore,InvMob,NA,NA,BtPlDw,NA,NA,NA,NA,0.0175,2.957,0.01047,3.06,0.01047,3.06,28,0.366,0.234,0.571
25,InvMob,BtPlDw,Halichoeres_hortulanus,Labridae,27,27,27,25,27,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.00955,3.07,0.012,3.05,0.0119,3.064,0.01096,3.05,0.01096,3.05,28,0.264,0.177,0.394
20,InvMob,BtPlDw,Halichoeres_marginatus,Labridae,18,18,18,20,18,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,0.01047,3.14,0.011,3.1,0.0053,3.414,0.01122,3.1,0.01122,3.1,28,0.375,0.247,0.563
20,InvMob,BtPlDw,Halichoeres_scapularis,Labridae,20,NA,20,20,20,Mobile invertebrate feeder,NA,Invertivore,InvMob,Bentho-pelagic Reef dwelling,NA,BtPlDw,0.01023,3.13,NA,NA,0.00524,3.382,0.01072,3.11,0.01072,3.11,28,0.375,0.247,0.563
50,InvMob,BtPlDw,Hemigymnus_fasciatus,Labridae,NA,80,30,30,50,NA,InvMob,Invertivore,InvMob,NA,BtPlDw,BtPlDw,NA,NA,0.014,3.04,0.02423,2.92262,0.01122,3.04,0.01122,3.04,28,0.114,0.08,0.159
60,InvMob,BtPlDw,Hemigymnus_melapterus,Labridae,NA,90,44,40,60,NA,InvMob,Invertivore,InvMob,NA,BtPlDw,BtPlDw,NA,NA,0.014,3.04,0.024234431,2.922617847,0.01259,3.04,0.01259,3.04,28,0.118,0.09,0.16
25,InvMob,BtPlDw,Heniochus_monoceros,Chaetodontidae,NA,NA,24,25,24,NA,NA,Invertivore,InvMob,NA,NA,BtPlDw,NA,NA,NA,NA,0.022,3.125,0.01905,3.06,0.01905,3.06,28,0.264,0.177,0.394
80,HerDet,BtPlDw,Hipposcarus_harid,Scaridae,NA,NA,75,80,75,Herbivore-detritivore,NA,Herbivore,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,NA,NA,NA,NA,0.01595,3,0.01349,3.03,0.01349,3.03,28,0.096,0.063,0.147
50,HerMac,PelgDw,Kyphosus_cinerascens,Kyphosidae,50,NA,55,60,50,Herbivore-macroalgae feeder,NA,Herbivore,HerMac,Pelagic Reef dwelling,NA,PelgDw,0.01778,3.01,NA,NA,0.0129,3.151,0.01549,3.02,0.01549,3.02,28,0.17,0.111,0.247
20,InvSes,BnthDw,Labrichthys_unilineatus,Labridae,NA,17.5,18,20,18,NA,InvSes,Corallivore,InvSes,NA,BnthDw,BnthDw,NA,NA,0.01,3.05,0.01503,3,0.01096,3.05,0.01096,3.05,28,0.269,0.165,0.443
